term_localName comment,http://rs.tdwg.org/dwc/terms/term_localName,rdfs_comment
acceptedNameUsage comment,http://rs.tdwg.org/dwc/terms/acceptedNameUsage,"The full name, with authorship and date information if known, of the currently valid (zoological) or accepted (botanical) taxon."
acceptedNameUsageID comment,http://rs.tdwg.org/dwc/terms/acceptedNameUsageID,An identifier for the name usage (documented meaning of the name according to a source) of the currently valid (zoological) or accepted (botanical) taxon.
associatedMedia comment,http://rs.tdwg.org/dwc/terms/associatedMedia,"A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of media associated with the Occurrence."
associatedOccurrences comment,http://rs.tdwg.org/dwc/terms/associatedOccurrences,A list (concatenated and separated) of identifiers of other Occurrence records and their associations to this Occurrence.
associatedOrganisms comment,http://rs.tdwg.org/dwc/terms/associatedOrganisms,A list (concatenated and separated) of identifiers of other Organisms and the associations of this Organism to each of them.
associatedReferences comment,http://rs.tdwg.org/dwc/terms/associatedReferences,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with the Occurrence."
associatedSequences comment,http://rs.tdwg.org/dwc/terms/associatedSequences,"A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of genetic sequence information associated with the Occurrence."
associatedTaxa comment,http://rs.tdwg.org/dwc/terms/associatedTaxa,A list (concatenated and separated) of identifiers or names of taxa and the associations of this Occurrence to each of them.
basisOfRecord comment,http://rs.tdwg.org/dwc/terms/basisOfRecord,The specific nature of the data record.
bed comment,http://rs.tdwg.org/dwc/terms/bed,The full name of the lithostratigraphic bed from which the cataloged item was collected.
behavior comment,http://rs.tdwg.org/dwc/terms/behavior,The behavior shown by the subject at the time the Occurrence was recorded.
catalogNumber comment,http://rs.tdwg.org/dwc/terms/catalogNumber,An identifier (preferably unique) for the record within the data set or collection.
class comment,http://rs.tdwg.org/dwc/terms/class,The full scientific name of the class in which the taxon is classified.
collectionCode comment,http://rs.tdwg.org/dwc/terms/collectionCode,"The name, acronym, coden, or initialism identifying the collection or data set from which the record was derived."
collectionID comment,http://rs.tdwg.org/dwc/terms/collectionID,An identifier for the collection or dataset from which the record was derived.
continent comment,http://rs.tdwg.org/dwc/terms/continent,The name of the continent in which the Location occurs.
coordinatePrecision comment,http://rs.tdwg.org/dwc/terms/coordinatePrecision,A decimal representation of the precision of the coordinates given in the decimalLatitude and decimalLongitude.
coordinateUncertaintyInMeters comment,http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters,"The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Leave the value empty if the uncertainty is unknown, cannot be estimated, or is not applicable (because there are no coordinates). Zero is not a valid value for this term."
country comment,http://rs.tdwg.org/dwc/terms/country,The name of the country or major administrative unit in which the Location occurs.
countryCode comment,http://rs.tdwg.org/dwc/terms/countryCode,The standard code for the country in which the Location occurs.
