highestBiostratigraphicZone label,http://rs.tdwg.org/dwc/terms/highestBiostratigraphicZone,Highest Biostratigraphic Zone
HumanObservation label,http://rs.tdwg.org/dwc/terms/HumanObservation,Human Observation
Identification label,http://rs.tdwg.org/dwc/terms/Identification,Identification
identificationID label,http://rs.tdwg.org/dwc/terms/identificationID,Identification ID
identificationQualifier label,http://rs.tdwg.org/dwc/terms/identificationQualifier,Identification Qualifier
identificationReferences label,http://rs.tdwg.org/dwc/terms/identificationReferences,Identification References
identificationRemarks label,http://rs.tdwg.org/dwc/terms/identificationRemarks,Identification Remarks
identificationVerificationStatus label,http://rs.tdwg.org/dwc/terms/identificationVerificationStatus,Identification Verification Status
identifiedBy label,http://rs.tdwg.org/dwc/terms/identifiedBy,Identified By
individualCount label,http://rs.tdwg.org/dwc/terms/individualCount,Individual Count
informationWithheld label,http://rs.tdwg.org/dwc/terms/informationWithheld,Information Withheld
infraspecificEpithet label,http://rs.tdwg.org/dwc/terms/infraspecificEpithet,Infraspecific Epithet
institutionCode label,http://rs.tdwg.org/dwc/terms/institutionCode,Institution Code
institutionID label,http://rs.tdwg.org/dwc/terms/institutionID,Institution ID
island label,http://rs.tdwg.org/dwc/terms/island,Island
islandGroup label,http://rs.tdwg.org/dwc/terms/islandGroup,Island Group
kingdom label,http://rs.tdwg.org/dwc/terms/kingdom,Kingdom
latestAgeOrHighestStage label,http://rs.tdwg.org/dwc/terms/latestAgeOrHighestStage,Latest AgeOr Highest Stage
latestEonOrHighestEonothem label,http://rs.tdwg.org/dwc/terms/latestEonOrHighestEonothem,Latest Eon Or Highest Eonothem
latestEpochOrHighestSeries label,http://rs.tdwg.org/dwc/terms/latestEpochOrHighestSeries,Latest Epoch Or Highest Series
latestEraOrHighestErathem label,http://rs.tdwg.org/dwc/terms/latestEraOrHighestErathem,Latest Era Or Highest Erathem
latestPeriodOrHighestSystem label,http://rs.tdwg.org/dwc/terms/latestPeriodOrHighestSystem,Latest Period Or Highest System
lifeStage label,http://rs.tdwg.org/dwc/terms/lifeStage,Life Stage
lithostratigraphicTerms label,http://rs.tdwg.org/dwc/terms/lithostratigraphicTerms,Lithostratigraphic Terms
LivingSpecimen label,http://rs.tdwg.org/dwc/terms/LivingSpecimen,Living Specimen
locality label,http://rs.tdwg.org/dwc/terms/locality,Locality
locationAccordingTo label,http://rs.tdwg.org/dwc/terms/locationAccordingTo,Location According To
locationID label,http://rs.tdwg.org/dwc/terms/locationID,Location ID
locationRemarks label,http://rs.tdwg.org/dwc/terms/locationRemarks,Location Remarks
lowestBiostratigraphicZone label,http://rs.tdwg.org/dwc/terms/lowestBiostratigraphicZone,Lowest Biostratigraphic Zone
MachineObservation label,http://rs.tdwg.org/dwc/terms/MachineObservation,Machine Observation
MaterialSample label,http://rs.tdwg.org/dwc/terms/MaterialSample,Material Sample
materialSampleID label,http://rs.tdwg.org/dwc/terms/materialSampleID,Material Sample ID
maximumDepthInMeters label,http://rs.tdwg.org/dwc/terms/maximumDepthInMeters,Maximum Depth In Meters
maximumDistanceAboveSurfaceInMeters label,http://rs.tdwg.org/dwc/terms/maximumDistanceAboveSurfaceInMeters,Maximum Distance Above Surface In Meters
maximumElevationInMeters label,http://rs.tdwg.org/dwc/terms/maximumElevationInMeters,Maximum Elevation In Meters
measurementAccuracy label,http://rs.tdwg.org/dwc/terms/measurementAccuracy,Measurement Accuracy
measurementDeterminedBy label,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,Measurement Determined By
measurementDeterminedDate label,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,Measurement Determined Date
measurementID label,http://rs.tdwg.org/dwc/terms/measurementID,Measurement ID
measurementMethod label,http://rs.tdwg.org/dwc/terms/measurementMethod,Measurement Method
MeasurementOrFact label,http://rs.tdwg.org/dwc/terms/MeasurementOrFact,Measurement or Fact
measurementRemarks label,http://rs.tdwg.org/dwc/terms/measurementRemarks,Measurement Remarks
measurementType label,http://rs.tdwg.org/dwc/terms/measurementType,Measurement Type
measurementUnit label,http://rs.tdwg.org/dwc/terms/measurementUnit,Measurement Unit
measurementValue label,http://rs.tdwg.org/dwc/terms/measurementValue,Measurement Value
member label,http://rs.tdwg.org/dwc/terms/member,Member
minimumDepthInMeters label,http://rs.tdwg.org/dwc/terms/minimumDepthInMeters,Minimum Depth In Meters
minimumDistanceAboveSurfaceInMeters label,http://rs.tdwg.org/dwc/terms/minimumDistanceAboveSurfaceInMeters,Minimum Distance Above Surface In Meters
minimumElevationInMeters label,http://rs.tdwg.org/dwc/terms/minimumElevationInMeters,Minimum Elevation In Meters
month label,http://rs.tdwg.org/dwc/terms/month,Month
municipality label,http://rs.tdwg.org/dwc/terms/municipality,Municipality
nameAccordingTo label,http://rs.tdwg.org/dwc/terms/nameAccordingTo,Name According To
nameAccordingToID label,http://rs.tdwg.org/dwc/terms/nameAccordingToID,Name According To ID
namePublishedIn label,http://rs.tdwg.org/dwc/terms/namePublishedIn,Name Published In
namePublishedInID label,http://rs.tdwg.org/dwc/terms/namePublishedInID,Name Published In ID
namePublishedInYear label,http://rs.tdwg.org/dwc/terms/namePublishedInYear,Name Published In Year
nomenclaturalCode label,http://rs.tdwg.org/dwc/terms/nomenclaturalCode,Nomenclatural Code
nomenclaturalStatus label,http://rs.tdwg.org/dwc/terms/nomenclaturalStatus,Nomenclatural Status
Occurrence label,http://rs.tdwg.org/dwc/terms/Occurrence,Occurrence
occurrenceID label,http://rs.tdwg.org/dwc/terms/occurrenceID,Occurrence ID
occurrenceRemarks label,http://rs.tdwg.org/dwc/terms/occurrenceRemarks,Occurrence Remarks
occurrenceStatus label,http://rs.tdwg.org/dwc/terms/occurrenceStatus,Occurrence Status
order label,http://rs.tdwg.org/dwc/terms/order,Order
Organism label,http://rs.tdwg.org/dwc/terms/Organism,Organism
organismID label,http://rs.tdwg.org/dwc/terms/organismID,Organism ID
organismName label,http://rs.tdwg.org/dwc/terms/organismName,Organism Name
organismQuantity label,http://rs.tdwg.org/dwc/terms/organismQuantity,Organism Quantity
organismQuantityType label,http://rs.tdwg.org/dwc/terms/organismQuantityType,Organism Quantity Type
organismRemarks label,http://rs.tdwg.org/dwc/terms/organismRemarks,Organism Remarks
organismScope label,http://rs.tdwg.org/dwc/terms/organismScope,Organism Scope
originalNameUsage label,http://rs.tdwg.org/dwc/terms/originalNameUsage,Original Name Usage
originalNameUsageID label,http://rs.tdwg.org/dwc/terms/originalNameUsageID,Original Name Usage ID
otherCatalogNumbers label,http://rs.tdwg.org/dwc/terms/otherCatalogNumbers,Other Catalog Numbers
ownerInstitutionCode label,http://rs.tdwg.org/dwc/terms/ownerInstitutionCode,Owner Institution Code
parentEventID label,http://rs.tdwg.org/dwc/terms/parentEventID,Parent Event ID
parentNameUsage label,http://rs.tdwg.org/dwc/terms/parentNameUsage,Parent Name Usage
parentNameUsageID label,http://rs.tdwg.org/dwc/terms/parentNameUsageID,Parent Name Usage ID
phylum label,http://rs.tdwg.org/dwc/terms/phylum,Phylum
